"","District","Year","0...04 yrs","05...09 yrs","10...14 yrs","15...19 yrs","20...24 yrs","25...49 yrs","50...64 yrs","65+ yrs","Province"
"156","Colombo",2023,211316,211651,198591,199037,185307,875183,386130,192786,"Western"
"157","Matale",2023,45098,45169,42382,42477,39547,186777,82406,41143,"Central"
"158","Hambantota",2023,58413,58505,54895,55018,51223,241920,106735,53290,"Southern"
"159","Jaffna",2023,53946,54031,50697,50811,47306,223421,98573,49215,"Northen"
"160","Kandy",2023,127305,127507,119639,119908,111636,527244,232620,116142,"Central"
"161","Matara",2023,74648,74766,70153,70310,65460,309160,136401,68102,"Southern"
"162","Mannar",2023,9965,9980,9364,9385,8738,41269,18208,9091,"Northen"
"163","Ampara",2023,64340,64442,60465,60601,56421,266468,117566,58698,"Eastern"
"164","Anuradhapura",2023,81606,81735,76691,76864,71561,337977,149115,74450,"North_Central"
"165","Ratnapura",2023,102050,102212,95905,96120,89489,422649,186472,93101,"Sabaragamuwa"
"166","Batticaloa",2023,49994,50074,46984,47089,43841,207055,91353,45610,"Eastern"
"167","Puttalam",2023,72586,72701,68215,68368,63652,300622,132634,66221,"North_Western"
"168","Moneragala",2023,43724,43793,41090,41183,38342,181085,79894,39889,"Uva"
"169","Mullaitivu",2023,8504,8518,7992,8010,7457,35221,15539,7758,"Northen"
"170","Kurunegala",2023,148351,148586,139417,139730,130091,614407,271076,135342,"North_Western"
"171","Badulla",2023,76967,77089,72332,72495,67494,318766,140639,70218,"Uva"
"172","Vavuniya",2023,16837,16863,15823,15858,14764,69730,30765,15360,"Northen"
"173","Trincomalee",2023,38054,38114,35762,35843,33370,157604,69535,34717,"Eastern"
"174","Polonnaruwa",2023,38226,38287,35924,36005,33521,158316,69849,34874,"North_Central"
"175","Kegalle",2023,76624,76745,72009,72171,67192,317343,140011,69904,"Sabaragamuwa"
